date;match_id;team1;team2;map1;map1_score;map2;map2_score;map3;map3_score
25th of september 2014;8992536;bosnia-&-herzegovina;hungary;inferno;13:16;;;;
25th of september 2014;8992542;nip;alternate-attax;inferno;16:8;;;;
25th of september 2014;8992543;titan;ldlc;mirage;12:16;;;;
25th of september 2014;8992544;fnatic;3dmax;cache;16:4;;;;
25th of september 2014;8992545;dignitas;cph-wolves;inferno;16:14;;;;
24th of september 2014;8992547;hellraisers;property;dust2;16:11;mirage;13:16;inferno;1:0
24th of september 2014;8992548;fnatic;hellraisers;mirage;16:13;dust2;12:16;inferno;1:0
9th of october 2014;8992549;ibuypower;lunatik;dust2;31:27;;;;
25th of september 2014;8992550;cloud9;savage;nuke;16:3;;;;
25th of september 2014;8992552;virtuspro;natus-vincere;season;16:13;;;;
25th of september 2014;8992553;virtuspro;overgaming;cache;4:16;;;;
25th of september 2014;8992554;epsilon;orbit;inferno;16:14;;;;
26th of september 2014;8992555;hellraisers;orbit;mirage;16:6;;;;
26th of september 2014;8992556;the-lone-rangers;hellraisers;dust2;3:16;;;;
26th of september 2014;8992557;hellraisers;epsilon;dust2;15:15;;;;
25th of september 2014;8992559;nip;ldlc;inferno;3:16;;;;
25th of september 2014;8992560;alternate-attax;titan;cache;12:16;;;;
25th of september 2014;8992561;nip;titan;dust2;13:16;;;;
25th of september 2014;8992562;fnatic;dignitas;cache;19:16;;;;
25th of september 2014;8992563;3dmax;cph-wolves;cache;16:13;;;;
25th of september 2014;8992564;dignitas;3dmax;dust2;17:19;;;;
26th of september 2014;8992568;natus-vincere;dat;mirage;16:8;;;;
26th of september 2014;8992569;virtuspro;dat;mirage;15:15;;;;
26th of september 2014;8992570;overgaming;cph-wolves;dust2;14:16;;;;
26th of september 2014;8992571;natus-vincere;overgaming;season;15:15;;;;
26th of september 2014;8992572;cph-wolves;dat;nuke;16:11;;;;
26th of september 2014;8992573;natus-vincere;cph-wolves;dust2;16:7;;;;
26th of september 2014;8992574;overgaming;dat;inferno;16:14;;;;
27th of september 2014;8992575;titan;virtuspro;cache;12:16;;;;
27th of september 2014;8992576;titan;dat;mirage;15:15;;;;
27th of september 2014;8992577;epsilon;the-lone-rangers;cache;15:15;;;;
27th of september 2014;8992578;epsilon;a-gaming;cache;16:2;;;;
27th of september 2014;8992579;nip;epsilon;dust2;8:16;;;;
27th of september 2014;8992582;neverplay;ussr;inferno;16:8;;;;
27th of september 2014;8992583;gplay;onlinebots;inferno;4:16;;;;
27th of september 2014;8992584;flipsid3;menace;cache;19:17;;;;
28th of september 2014;8992587;31337;eplay;nuke;5:16;;;;
28th of september 2014;8992591;hellraisers;virtuspro;inferno;2:16;;;;
28th of september 2014;8992592;nip;virtuspro;inferno;7:16;;;;
27th of september 2014;8992594;myxmg;publiclirse;mirage;16:4;;;;
29th of september 2014;8992595;cph-wolves;ldlc;dust2;4:16;;;;
28th of september 2014;8992596;overgaming;nip;inferno;2:16;;;;
29th of september 2014;8992597;titan;hellraisers;mirage;16:11;;;;
28th of september 2014;8992598;virtuspro;the-lone-rangers;cache;16:5;;;;
27th of september 2014;8992599;penta;ezpz_ls;nuke;16:8;;;;
28th of september 2014;8992600;sweden;finland;mirage;13:16;;;;
28th of september 2014;8992601;bizounours;igamerz;mirage;7:16;dust2;8:16;;
28th of september 2014;8992602;orbit;zylex;mirage;16:13;;;;
28th of september 2014;8992603;planetkey;outbreak;inferno;16:12;;;;
28th of september 2014;8992604;aligon;penta;dust2;8:16;;;;
28th of september 2014;8992605;myxmg;fusd0;inferno;16:3;;;;
28th of september 2014;8992606;inflames;baixissimo-nivel;dust2;10:16;inferno;2:16;;
28th of september 2014;8992607;netherlands;czech-republic;dust2;16:8;;;;
28th of september 2014;8992608;myxmg;penta;inferno;16:8;dust2;4:16;mirage;16:14
28th of september 2014;8992609;kabumtd;progamingtd;dust2;14:16;cache;16:11;mirage;1:0
28th of september 2014;8992610;finland;serbia;mirage;12:16;;;;
28th of september 2014;8992611;planetkey;orbit;mirage;16:7;inferno;16:7;;
29th of september 2014;8992612;sweden;serbia;inferno;16:5;;;;
29th of september 2014;8992613;overgaming;virtuspro;cache;5:16;;;;
29th of september 2014;8992614;denmark;latvia;inferno;16:8;;;;
29th of september 2014;8992615;titan;cph-wolves;cache;19:16;;;;
29th of september 2014;8992616;nip;ldlc;inferno;10:16;cache;8:16;;
29th of september 2014;8992617;kabumtd;gfx;inferno;16:9;cache;14:16;mirage;16:5
29th of september 2014;8992618;poland;turkey;dust2;16:3;;;;
30th of september 2014;8992619;titan;virtuspro;cache;16:14;;;;
30th of september 2014;8992620;nip;titan;inferno;16:19;cache;7:16;;
30th of september 2014;8992621;norway;turkey;inferno;16:14;;;;
1st of october 2014;8992622;virtuspro;nip;season;12:16;;;;
1st of october 2014;8992623;epsilon;hellraisers;inferno;31:29;;;;
1st of october 2014;8992624;hellraisers;ldlc;overpass;18:21;;;;
1st of october 2014;8992625;ldlc;fnatic;cache;8:16;;;;
1st of october 2014;8992626;titan;nip;inferno;16:5;;;;
1st of october 2014;8992627;hellraisers;epsilon;mirage;16:6;;;;
1st of october 2014;8992628;norway;belarus;dust2;16:14;;;;
1st of october 2014;8992629;nip;isak;dust2;16:8;;;;
1st of october 2014;8992630;ldlc;cph-wolves;inferno;16:11;;;;
1st of october 2014;8992631;31337;amnesia;mirage;16:1;;;;
1st of october 2014;8992632;alsen;eplay;mirage;16:10;;;;
1st of october 2014;8992633;nomercy;haxcon;mirage;16:5;;;;
1st of october 2014;8992634;sweden;germany;inferno;15:15;;;;
1st of october 2014;8992635;cph-wolves;isak;cache;16:13;dust2;16:4;;
2nd of october 2014;8992636;epsilon;nip;dust2;11:16;;;;
2nd of october 2014;8992637;titan;fnatic;dust2;12:16;;;;
2nd of october 2014;8992638;epsilon;fnatic;dust2;7:16;;;;
2nd of october 2014;8992640;fnatic;ldlc;cache;16:5;;;;
2nd of october 2014;8992641;nip;ldlc;overpass;13:16;inferno;9:16;;
2nd of october 2014;8992642;cph-wolves;nip;nuke;14:16;dust2;9:16;;
2nd of october 2014;8992643;mobility;savage;inferno;16:13;;;;
2nd of october 2014;8992644;lunatik;netcodeguidescom;nuke;10:16;;;;
2nd of october 2014;8992645;cloud9;ibuypower;overpass;16:10;;;;
3rd of october 2014;8992647;netcodeguidescom;mobility;season;0:1;;;;
3rd of october 2014;8992648;zzcy;nfacegm;dust2;12:16;cache;3:16;;
3rd of october 2014;8992649;tyloo;pow;inferno;7:16;cache;16:14;nuke;23:25
3rd of october 2014;8992650;hellraisers;myxmg;overpass;8:16;mirage;16:7;inferno;16:11
3rd of october 2014;8992651;natus-vincere;virtuspro;mirage;16:19;season;16:14;inferno;16:7
3rd of october 2014;8992652;zzcy;tyloo;mirage;6:16;nuke;7:16;;
3rd of october 2014;8992653;nfacegm;pow;nuke;16:2;inferno;12:16;cache;4:16
3rd of october 2014;8992654;mousesports;a2e;mirage;16:7;;;;
4th of october 2014;8992655;myxmg;virtuspro;mirage;6:16;dust2;13:16;;
4th of october 2014;8992656;hellraisers;natus-vincere;mirage;14:16;inferno;12:16;;
4th of october 2014;8992657;tyloo;nfacegm;inferno;16:9;train;8:16;nuke;12:16
4th of october 2014;8992658;pow;nfacegm;cache;16:11;inferno;16:13;;
3rd of october 2014;8992659;3dmax;penta;inferno;16:3;;;;
4th of october 2014;8992660;dignitas;planetkey;tba;1:0;;;;
4th of october 2014;8992661;natus-vincere;mousesports;overpass;17:19;;;;
4th of october 2014;8992662;gplay;ggwppro;dust2;16:7;nuke;16:7;;
4th of october 2014;8992663;pb;esc;inferno;1:0;mirage;16:8;;
4th of october 2014;8992664;mousesports;dope;cache;16:5;mirage;16:9;;
4th of october 2014;8992665;playing-ducks;3dmax;mirage;9:16;dust2;10:16;;
4th of october 2014;8992666;fraternitas;cyborg-factory;season;16:8;dust2;16:2;mirage;16:5
4th of october 2014;8992667;menace;ratsoftheyear;mirage;16:14;;;;
4th of october 2014;8992668;jyntt;mymdl;inferno;16:7;;;;
4th of october 2014;8992669;superstars;hanat-auki;mirage;10:16;;;;
5th of october 2014;8992670;virtuspro;hellraisers;mirage;19:22;inferno;16:8;overpass;9:16
4th of october 2014;8992671;superstars;gl-shaker;dust2;16:6;;;;
4th of october 2014;8992672;ratsoftheyear;mymdl;mirage;13:16;;;;
4th of october 2014;8992673;jyntt;hanat-auki;mirage;16:10;;;;
4th of october 2014;8992674;ratsoftheyear;superstars;dust2;16:3;;;;
4th of october 2014;8992675;jyntt;menace;dust2;9:16;;;;
4th of october 2014;8992676;mymdl;gl-shaker;mirage;13:16;;;;
4th of october 2014;8992677;ratsoftheyear;hanat-auki;dust2;16:9;;;;
4th of october 2014;8992678;mymdl;menace;dust2;9:16;;;;
4th of october 2014;8992679;jyntt;gl-shaker;inferno;16:13;;;;
4th of october 2014;8992680;mymdl;hanat-auki;mirage;14:16;;;;
4th of october 2014;8992681;menace;superstars;mirage;15:15;;;;
4th of october 2014;8992682;ratsoftheyear;gl-shaker;cache;16:6;;;;
5th of october 2014;8992683;natus-vincere;hellraisers;mirage;16:1;cache;6:16;dust2;6:16
4th of october 2014;8992684;jyntt;superstars;mirage;16:14;;;;
4th of october 2014;8992685;menace;hanat-auki;dust2;16:3;;;;
4th of october 2014;8992686;jyntt;ratsoftheyear;mirage;15:15;;;;
4th of october 2014;8992687;mymdl;superstars;mirage;10:16;;;;
4th of october 2014;8992688;property;flipsid3;mirage;9:16;inferno;10:16;;
4th of october 2014;8992689;dignitas;mousesports;overpass;16:1;mirage;16:11;;
4th of october 2014;8992690;menace;gl-shaker;inferno;16:13;;;;
4th of october 2014;8992691;hanat-auki;gl-shaker;cache;15:15;;;;
4th of october 2014;8992692;menace;hanat-auki;inferno;16:9;mirage;16:3;;
5th of october 2014;8992693;pb;gplay;dust2;8:16;inferno;4:16;;
5th of october 2014;8992694;volgare;knockoutstars;mirage;16:10;overpass;7:16;cobblestone;16:10
5th of october 2014;8992694;volgare;knockoutstars;mirage;16:10;overpass;7:16;cobblestone;16:10
5th of october 2014;8992695;mousesports;3dmax;mirage;16:7;nuke;14:16;dust2;4:16
4th of october 2014;8992696;ratsoftheyear;jyntt;nuke;16:5;mirage;16:12;;
5th of october 2014;8992697;natus-vincere;mousesports;mirage;9:16;overpass;10:16;;
5th of october 2014;8992698;menace;ratsoftheyear;dust2;7:16;cache;4:16;;
5th of october 2014;8992699;macedonia;latvia;inferno;16:13;;;;
5th of october 2014;8992700;juhos-team;nasus-team;dust2;10:16;;;;
5th of october 2014;8992701;twistas-team;falsus-team;dust2;6:16;;;;
5th of october 2014;8992702;saws-team;oskus-team;mirage;16:6;;;;
5th of october 2014;8992703;kipsiks-team;oskus-team;dust2;16:12;;;;
5th of october 2014;8992704;saws-team;falsus-team;dust2;16:10;;;;
5th of october 2014;8992705;twistas-team;juhos-team;mirage;15:15;;;;
5th of october 2014;8992706;nasus-team;saws-team;nuke;13:16;;;;
5th of october 2014;8992707;oskus-team;falsus-team;dust2;11:16;;;;
5th of october 2014;8992708;twistas-team;kipsiks-team;cache;15:15;;;;
5th of october 2014;8992709;juhos-team;oskus-team;mirage;16:11;;;;
5th of october 2014;8992710;nasus-team;falsus-team;dust2;13:16;;;;
5th of october 2014;8992711;kipsiks-team;saws-team;mirage;11:16;;;;
5th of october 2014;8992712;twistas-team;saws-team;dust2;16:13;;;;
5th of october 2014;8992713;nasus-team;kipsiks-team;dust2;8:16;;;;
5th of october 2014;8992714;juhos-team;falsus-team;inferno;16:14;;;;
5th of october 2014;8992715;nasus-team;oskus-team;cache;16:9;;;;
5th of october 2014;8992716;kipsiks-team;falsus-team;dust2;12:16;;;;
5th of october 2014;8992717;juhos-team;saws-team;mirage;15:15;;;;
5th of october 2014;8992718;nasus-team;twistas-team;cache;16:13;;;;
5th of october 2014;8992719;kipsiks-team;juhos-team;dust2;10:16;;;;
5th of october 2014;8992720;twistas-team;oskus-team;cache;16:6;;;;
5th of october 2014;8992721;london-conspiracy;partyastronauts;mirage;16:11;nuke;16:12;;
5th of october 2014;8992722;mousesports;pb;cache;16:5;season;9:16;dust2;16:3
5th of october 2014;8992723;nasus-team;saws-team;mirage;14:16;;;;
5th of october 2014;8992725;alientech;treserredoisell;nuke;16:1;mirage;16:2;;
5th of october 2014;8992726;k1ck;ftwpro;dust2;16:10;inferno;16:6;;
5th of october 2014;8992727;nasus-team;falsus-team;cache;16:14;;;;
5th of october 2014;8992728;juhos-team;saws-team;dust2;19:16;;;;
5th of october 2014;8992729;3dmax;gplay;cache;16:4;nuke;19:16;;
5th of october 2014;8992730;nasus-team;saws-team;nuke;12:16;;;;
5th of october 2014;8992731;juhos-team;saws-team;nuke;9:16;mirage;5:16;;
6th of october 2014;8992732;hellraisers;fnatic;inferno;0:1;;;;
6th of october 2014;8992733;dignitas;nip;overpass;16:9;;;;
6th of october 2014;8992734;titan;virtuspro;nuke;7:16;;;;
6th of october 2014;8992735;epsilon;ldlc;dust2;11:16;;;;
6th of october 2014;8992736;es4x;faith;inferno;7:16;dust2;18:21;;
5th of october 2014;8992741;k1ck;alientech;nuke;16:5;inferno;16:14;;
6th of october 2014;8992742;france;belgium;dust2;16:9;;;;
6th of october 2014;8992743;ldlc;dignitas;dust2;16:13;;;;
7th of october 2014;8992744;mousesports;property;dust2;16:10;cache;13:16;inferno;16:14
7th of october 2014;8992745;dignitas;titan;inferno;16:11;;;;
7th of october 2014;8992746;ldlc;virtuspro;cache;21:16;;;;
7th of october 2014;8992747;fnatic;nip;dust2;16:13;;;;
7th of october 2014;8992748;epsilon;dignitas;dust2;7:16;;;;
7th of october 2014;8992749;hellraisers;titan;cache;16:1;;;;
7th of october 2014;8992750;ukraine;bosnia-&-herzegovina;mirage;12:16;;;;
7th of october 2014;8992751;epsilon;alternate-attax;dust2;17:19;cache;13:16;;
7th of october 2014;8992752;dat;nostalgie;cache;21:15;mirage;16:9;;
7th of october 2014;8992753;wolf;virtual-impact;dust2;10:16;inferno;16:14;nuke;13:16
8th of october 2014;8992754;hellraisers;nip;cache;16:12;;;;
8th of october 2014;8992755;epsilon;virtuspro;mirage;6:16;;;;
8th of october 2014;8992756;fnatic;dignitas;inferno;16:6;;;;
8th of october 2014;8992757;titan;ldlc;overpass;2:16;;;;
8th of october 2014;8992759;fnatic;property;inferno;16:5;;;;
8th of october 2014;8992760;epsilon;hellraisers;cache;14:16;;;;
8th of october 2014;8992763;alsen;nomercy;cobblestone;16:11;;;;
8th of october 2014;8992764;eplay;haxcon;cobblestone;16:2;;;;
8th of october 2014;8992765;epsilon;property;cache;16:1;dust2;15:19;mirage;4:16
10th of october 2014;8992766;finland;portugal;dust2;16:12;;;;
12th of october 2014;8992767;france;turkey;dust2;16:5;;;;
12th of october 2014;8992768;germany;portugal;dust2;14:16;;;;
9th of october 2014;8992769;dignitas;virtuspro;overpass;7:16;;;;
9th of october 2014;8992770;titan;dignitas;mirage;16:7;;;;
9th of october 2014;8992771;ldlc;nip;inferno;16:9;;;;
9th of october 2014;8992772;hellraisers;dignitas;mirage;5:16;;;;
9th of october 2014;8992773;epsilon;titan;cache;4:16;;;;
9th of october 2014;8992774;fnatic;virtuspro;cache;7:16;;;;
9th of october 2014;8992775;fnatic;hellraisers;mirage;16:9;cache;16:9;;
9th of october 2014;8992776;virtuspro;alternate-attax;cache;19:17;mirage;14:16;inferno;16:4
9th of october 2014;8992778;denmark;macedonia;dust2;16:1;;;;
10th of october 2014;8992779;ibuypower;netcodeguidescom;cache;16:13;dust2;16:12;;
10th of october 2014;8992780;cloud9;denial;dust2;16:7;inferno;16:3;;
10th of october 2014;8992781;dignitas;mtw;overpass;16:4;dust2;16:6;;
10th of october 2014;8992782;turkey;belarus;nuke;10:16;;;;
10th of october 2014;8992783;ibuypower;cloud9;train;7:16;dust2;7:16;;
11th of october 2014;8992784;hellraisers;aces;mirage;16:5;dust2;16:5;;
11th of october 2014;8992785;tbeb;es4x;dust2;14:16;mirage;13:16;;
11th of october 2014;8992786;asus-cyberzone;a-gaming;mirage;16:6;nuke;16:5;;
11th of october 2014;8992787;acg;nothing-personal;inferno;16:12;dust2;11:16;cache;19:17
11th of october 2014;8992788;virtuspro;myxmg;tba;1:0;;;;
11th of october 2014;8992789;titan;bad-monkey;dust2;16:1;;;;
11th of october 2014;8992790;netherlands;kazakhstan;dust2;16:8;;;;
11th of october 2014;8992791;ldlc;x6tence;dust2;16:14;cache;16:9;;
11th of october 2014;8992792;denial;netcodeguidescom;inferno;2:16;season;14:16;;
11th of october 2014;8992793;ibuypower;netcodeguidescom;cache;16:11;train;16:10;;
11th of october 2014;8992794;cloud9;ibuypower;cache;13:16;dust2;9:16;train;14:16
11th of october 2014;8992795;hellraisers;es4x;mirage;16:7;dust2;16:8;;
11th of october 2014;8992796;aces;tbeb;mirage;16:14;cache;16:2;;
11th of october 2014;8992797;energy;bravado;dust2;14:16;cache;16:12;nuke;17:19
11th of october 2014;8992798;damage-control;in-finity;cache;11:16;dust2;16:5;mirage;11:16
12th of october 2014;8992799;germany;serbia;inferno;16:6;;;;
11th of october 2014;8992800;asus-cyberzone;acg;mirage;16:5;inferno;19:17;;
11th of october 2014;8992801;a-gaming;nothing-personal;dust2;7:16;cobblestone;19:17;nuke;8:16
12th of october 2014;8992802;netherlands;bosnia-&-herzegovina;mirage;16:2;;;;
11th of october 2014;8992803;myxmg;exes;overpass;16:13;inferno;6:16;dust2;12:16
12th of october 2014;8992804;es4x;aces;nuke;4:16;mirage;14:16;;
11th of october 2014;8992805;energy;damage-control;cache;16:3;dust2;7:16;mirage;19:22
12th of october 2014;8992806;bravado;in-finity;dust2;16:8;cache;16:14;nuke;16:12
12th of october 2014;8992807;myxmg;bad-monkey;default;0:1;;;;
12th of october 2014;8992808;titan;virtuspro;cache;4:16;mirage;12:16;;
12th of october 2014;8992809;hellraisers;asus-cyberzone;overpass;16:6;mirage;16:8;;
12th of october 2014;8992810;acg;nothing-personal;dust2;13:16;inferno;1:16;;
12th of october 2014;8992811;eplay;amnesia;dust2;5:16;;;;
12th of october 2014;8992814;cph-wolves;exes;inferno;16:7;nuke;16:11;;
12th of october 2014;8992815;exes;all-in;inferno;17:19;;;;
12th of october 2014;8992816;cph-wolves;all-in;inferno;13:16;cache;16:3;dust2;16:4
13th of october 2014;8992817;fnatic;esc;cache;16:12;mirage;16:9;overpass;14:16
12th of october 2014;8992818;aces;nothing-personal;cache;7:16;nuke;16:14;cobblestone;16:0
12th of october 2014;8992819;titan;bad-monkey;dust2;16:2;mirage;16:8;;
12th of october 2014;8992820;hellraisers;asus-cyberzone;cache;11:16;nuke;13:16;overpass;16:7
12th of october 2014;8992821;alsen;amnesia;nuke;10:16;;;;
12th of october 2014;8992823;asus-cyberzone;aces;mirage;16:13;nuke;16:9;;
12th of october 2014;8992824;norway;belgium;dust2;16:10;;;;
12th of october 2014;8992825;sweden;portugal;inferno;16:3;;;;
14th of october 2014;8992826;dignitas;nip;inferno;16:14;dust2;16:3;;
15th of october 2014;8992827;ldlc;mousesports;dust2;16:6;mirage;14:16;overpass;16:10
14th of october 2014;8992828;fnatic;cph-wolves;inferno;16:13;cache;16:12;;
15th of october 2014;8992829;fnatic;titan;mirage;16:10;cache;12:16;inferno;16:6
14th of october 2014;8992830;nostalgie;unnamed;season;16:9;dust2;16:12;;
15th of october 2014;8992831;ukraine;hungary;mirage;16:4;;;;
16th of october 2014;8992832;fnatic;ldlc;cache;16:11;dust2;13:16;inferno;5:16
20th of october 2014;8992833;virtuspro;dignitas;cache;16:6;inferno;7:16;overpass;9:16
16th of october 2014;8992835;virtuspro;hellraisers;cache;2:16;overpass;22:20;inferno;16:9
19th of october 2014;8992836;kabumtd;progamingtd;dust2;14:16;mirage;16:10;inferno;16:12
15th of october 2014;8992838;haxcon;amnesia;cobblestone;16:12;;;;
15th of october 2014;8992840;31337;nomercy;cobblestone;15:15;;;;
16th of october 2014;8992841;natus-vincere;isak;dust2;16:4;;;;
16th of october 2014;8992842;epsilon;myxmg;inferno;16:5;;;;
15th of october 2014;8992843;ukraine;netherlands;dust2;11:16;;;;
16th of october 2014;8992844;france;norway;mirage;16:12;;;;
18th of october 2014;8992845;titan;epsilon;dust2;16:10;cache;16:13;;
18th of october 2014;8992846;natus-vincere;ldlc;overpass;8:16;inferno;7:16;;
18th of october 2014;8992847;titan;ldlc;season;4:16;cache;6:16;;
16th of october 2014;8992848;belgium;belarus;mirage;3:16;;;;
17th of october 2014;8992849;denmark;slovakia;dust2;15:15;;;;
17th of october 2014;8992850;russia;slovakia;inferno;16:4;;;;
16th of october 2014;8992851;bosnia-&-herzegovina;czech-republic;mirage;16:11;;;;
17th of october 2014;8992852;denmark;russia;inferno;16:8;;;;
17th of october 2014;8992853;poland;belarus;dust2;16:10;;;;
19th of october 2014;8992855;vox-eminor;qlimax-crew;cache;16:9;dust2;16:12;;
19th of october 2014;8992856;immunity;avant-garde;mirage;16:14;cache;16:2;;
18th of october 2014;8992858;playing-ducks;infused;nuke;5:16;;;;
18th of october 2014;8992859;platinium;noteamtag;mirage;16:11;;;;
18th of october 2014;8992860;orbit;bx3;inferno;16:12;;;;
19th of october 2014;8992861;epsilon;natus-vincere;inferno;10:16;overpass;12:16;;
18th of october 2014;8992862;aligon;volgare;inferno;12:16;;;;
18th of october 2014;8992863;flipsid3;platinium;inferno;16:8;;;;
18th of october 2014;8992864;duttdutt;airwalk;cache;16:12;;;;
18th of october 2014;8992865;gplay;dkz;mirage;6:16;;;;
18th of october 2014;8992866;alternate-attax;partyastronauts;dust2;16:5;;;;
18th of october 2014;8992867;duttdutt;flk;mirage;16:10;;;;
18th of october 2014;8992868;myxmg;recursive;mirage;14:16;;;;
18th of october 2014;8992869;esc;eyesports;mirage;16:12;;;;
18th of october 2014;8992870;infused;dkz;cache;16:10;;;;
18th of october 2014;8992871;alternate-attax;duttdutt;mirage;11:16;;;;
18th of october 2014;8992872;esc;imaginary;cache;16:10;;;;
18th of october 2014;8992873;orbit;myc;mirage;16:7;;;;
18th of october 2014;8992874;penta;inc;dust2;16:11;;;;
18th of october 2014;8992875;duttdutt;infused;dust2;16:13;;;;
19th of october 2014;8992876;titan;natus-vincere;dust2;10:16;mirage;11:16;;
19th of october 2014;8992877;ldlc;natus-vincere;inferno;16:9;dust2;17:19;overpass;12:16
18th of october 2014;8992878;orbit;penta;cache;10:16;;;;
18th of october 2014;8992879;esc;tahleouf;cobblestone;31:26;;;;
18th of october 2014;8992880;flipsid3;neverplay;cache;16:11;;;;
18th of october 2014;8992881;duttdutt;esc;mirage;16:14;;;;
19th of october 2014;8992883;flipsid3;volgare;inferno;16:12;;;;
19th of october 2014;8992884;penta;flipsid3;cache;8:16;;;;
19th of october 2014;8992885;duttdutt;flipsid3;mirage;6:16;;;;
19th of october 2014;8992886;avant-garde;qlimax-crew;dust2;9:16;mirage;13:16;;
19th of october 2014;8992887;vox-eminor;immunity;inferno;6:16;cache;14:16;;
19th of october 2014;8992889;31337;amnesia;inferno;15:15;;;;
19th of october 2014;8992890;alsen;eplay;inferno;16:12;;;;
19th of october 2014;8992891;nomercy;haxcon;inferno;16:12;;;;
19th of october 2014;8992892;tahleouf;ination;inferno;12:16;;;;
19th of october 2014;8992893;partyastronauts;airwalk;cache;16:10;;;;
19th of october 2014;8992894;mtw;31337;mirage;16:1;;;;
19th of october 2014;8992895;alternate-attax;noteamtag;mirage;16:9;;;;
19th of october 2014;8992896;myxmg;highgrade;dust2;16:14;;;;
19th of october 2014;8992897;planetkey;ajukrezi;dust2;16:7;;;;
19th of october 2014;8992898;alternate-attax;ggwppro;cache;16:2;;;;
19th of october 2014;8992899;platinium;inc;dust2;16:11;;;;
19th of october 2014;8992900;aligon;ination;cache;16:12;;;;
19th of october 2014;8992901;k1ck;myc;dust2;10:16;;;;
19th of october 2014;8992902;mtw;recursive;mirage;16:13;;;;
19th of october 2014;8992903;planetkey;exes;mirage;16:11;;;;
19th of october 2014;8992904;orbit;un;inferno;10:16;;;;
19th of october 2014;8992905;planetkey;platinium;dust2;16:6;;;;
19th of october 2014;8992906;un;mykpv;cache;16:14;;;;
19th of october 2014;8992907;myc;katrina;cache;14:16;;;;
19th of october 2014;8992908;alternate-attax;katrina;nuke;16:12;;;;
19th of october 2014;8992909;mtw;landodge;cache;10:16;;;;
19th of october 2014;8992910;igamerz;raiders;mirage;16:11;;;;
19th of october 2014;8992911;planetkey;mtw;inferno;16:9;;;;
19th of october 2014;8992912;myxmg;igamerz;overpass;16:5;;;;
20th of october 2014;8992913;fnatic;cph-wolves;cache;16:6;dust2;19:17;inferno;22:20
19th of october 2014;8992914;aligon;gamersphere;mirage;16:11;;;;
20th of october 2014;8992916;nomercy;eplay;overpass;16:8;;;;
19th of october 2014;8992917;un;aligon;cache;4:16;;;;
27th of october 2014;8992919;cph-wolves;hellraisers;cache;14:16;inferno;16:9;dust2;16:12
21st of october 2014;8992920;dignitas;virtuspro;overpass;12:16;mirage;11:16;;
21st of october 2014;8992920;dignitas;virtuspro;overpass;12:16;mirage;11:16;;
22nd of october 2014;8992921;ldlc;fnatic;mirage;12:16;inferno;16:14;overpass;16:11
27th of october 2014;8992922;natus-vincere;titan;dust2;1:16;mirage;16:14;inferno;16:14
21st of october 2014;8992924;x6tence;pachulis;default;0:1;;;;
21st of october 2014;8992925;denial;tst;inferno;16:14;;;;
21st of october 2014;8992926;netcodeguidescom;dxm;mirage;16:5;;;;
21st of october 2014;8992927;elevate;skdc;cache;16:5;;;;
21st of october 2014;8992928;ibuypower;we-ride-ponies;dust2;16:2;;;;
21st of october 2014;8992929;ibuypower;elevate;cache;16:7;;;;
21st of october 2014;8992930;netcodeguidescom;denial;nuke;16:10;;;;
21st of october 2014;8992931;netcodeguidescom;ibuypower;cache;16:5;nuke;11:16;dust2;5:16
21st of october 2014;8992932;nip;epsilon;cache;19:15;inferno;16:7;;
21st of october 2014;8992933;ldlc;aligon;inferno;16:9;cache;16:7;;
21st of october 2014;8992935;3dmax;flipsid3;mirage;8:16;overpass;16:4;cache;18:21
21st of october 2014;8992936;mousesports;planetkey;mirage;14:16;overpass;9:16;;
21st of october 2014;8992937;cph-wolves;esc;cache;14:16;cobblestone;14:16;;
21st of october 2014;8992938;london-conspiracy;alternate-attax;dust2;12:16;mirage;16:14;cobblestone;12:16
21st of october 2014;8992939;x6tence;penta;dust2;6:16;cache;7:16;;
21st of october 2014;8992940;hellraisers;duttdutt;overpass;16:13;mirage;16:6;;
21st of october 2014;8992941;ldlc;myxmg;overpass;16:1;inferno;16:14;;
21st of october 2014;8992942;planetkey;flipsid3;inferno;16:4;dust2;16:5;;
21st of october 2014;8992943;hellraisers;penta;dust2;17:21;cache;12:16;;
22nd of october 2014;8992944;esc;alternate-attax;cache;16:14;mirage;16:2;;
22nd of october 2014;8992946;hellraisers;alternate-attax;dust2;16:14;cache;16:14;;
22nd of october 2014;8992947;myxmg;flipsid3;mirage;11:16;overpass;16:14;inferno;16:9
22nd of october 2014;8992948;overgaming;gbots;inferno;16:6;mirage;19:16;;
22nd of october 2014;8992949;myxmg;hellraisers;overpass;11:16;mirage;10:16;;
24th of october 2014;8992950;ldlc;cloud9;inferno;16:6;;;;
24th of october 2014;8992951;dignitas;fnatic;overpass;3:16;;;;
23rd of october 2014;8992952;mousesports;bad-monkey;dust2;16:4;mirage;16:4;;
24th of october 2014;8992953;virtuspro;ldlc;cache;7:16;;;;
25th of october 2014;8992954;ibuypower;dignitas;nuke;13:16;;;;
25th of october 2014;8992955;cloud9;virtuspro;inferno;6:16;;;;
24th of october 2014;8992956;fnatic;ibuypower;inferno;16:13;;;;
24th of october 2014;8992957;cloud9;ldlc;dust2;11:16;;;;
24th of october 2014;8992958;fnatic;dignitas;mirage;16:5;;;;
